Actual,Error,Predicted
3195000,-8162.407367052268,-3203162.407367052
3195000,-7941.356335450346,-3202941.3563354504
3195000,-7913.339327357491,-3202913.3393273577
3180000,-8950.728383051044,-3188950.728383051
3175000,-8312.263731074452,-3183312.2637310745
3150000,-7997.334776120675,-3157997.3347761207
3150000,-7997.334776120675,-3157997.3347761207
3150000,-8314.621490763877,-3158314.621490764
3150000,-8352.929951386228,-3158352.929951386
3149999,-7808.422285822312,-3157807.422285822
3149999,-7558.053576058422,-3157557.0535760582
3148888,-6497.460225032372,-3155385.460225032
3145000,-7546.709435763588,-3152546.709435764
3130000,-6053.187713380233,-3136053.1877133804
3100000,-6674.570554897264,-3106674.570554897
3100000,-6674.570554897264,-3106674.570554897
3099000,-7540.934038215498,-3106540.9340382153
3099000,-7842.000004463532,-3106842.0000044634
3095000,-8860.833653559199,-3103860.833653559
3095000,-8079.8739692247755,-3103079.8739692247
3095000,-8512.9966830162,-3103512.9966830164
3080000,-7388.712581887593,-3087388.7125818874
3080000,-6730.046097421952,-3086730.046097422
3000000,-7069.074824489351,-3007069.074824489
2999999,-5913.971993413492,-3005912.9719934133
2999950,-6569.497139849839,-3006519.4971398497
2999950,-7961.296035958416,-3007911.2960359585
2999888,-7443.690780781596,-3007331.6907807817
2999000,-7493.57917731331,-3006493.5791773135
2999000,-7877.089165835653,-3006877.0891658356
2999000,-8310.548442647154,-3007310.5484426473
2999000,-6379.458486512031,-3005379.458486512
2999000,-6842.38683437692,-3005842.386834377
2999000,-7701.993781199054,-3006701.993781199
2999000,-6774.130014395836,-3005774.130014396
2998880,-7826.409261642149,-3006706.409261642
2998000,-7450.1841725143695,-3005450.1841725144
2998000,-8192.077559862388,-3006192.0775598623
2998000,-8205.967538657562,-3006205.9675386576
2998000,-8344.454002998227,-3006344.4540029983
2997589,-8971.66395939823,-3006560.6639593984
2995000,-8092.411160707586,-3003092.4111607075
2995000,-7437.988519336033,-3002437.988519336
2995000,-8482.109951141649,-3003482.1099511418
2995000,-9126.428664179553,-3004126.4286641795
2995000,-8002.357518506425,-3003002.3575185062
2995000,-6188.970040853864,-3001188.970040854
2995000,-8697.385363822466,-3003697.3853638223
2995000,-8697.385363822466,-3003697.3853638223
2995000,-8065.4378008594795,-3003065.4378008596
2995000,-8709.785546140683,-3003709.7855461407
2995000,-5583.894502334394,-3000583.8945023343
2995000,-8175.117560115925,-3003175.117560116
2995000,-8999.329718603529,-3003999.3297186038
2995000,-7100.110446223969,-3002100.110446224
2995000,-8250.628640957035,-3003250.628640957
2995000,-7857.339756206805,-3002857.3397562066
2995000,-7004.21087698268,-3002004.2108769827
2995000,-7775.414891347692,-3002775.4148913478
2995000,-7819.1868157685285,-3002819.1868157685
2995000,-8083.185271140482,-3003083.1852711407
2995000,-8241.10916661914,-3003241.1091666194
2995000,-8546.58821383955,-3003546.5882138396
2995000,-9149.435888706177,-3004149.4358887062
2990000,-5145.01332117438,-2995145.0133211743
2989500,-7709.945508264875,-2997209.945508265
2988888,-8592.282174399685,-2997480.2821743996
2988000,-8687.415576894335,-2996687.4155768943
2980000,-6446.0385276445,-2986446.0385276447
2975000,-8163.556159952029,-2983163.556159952
2975000,-8600.016089192433,-2983600.0160891926
2975000,-5979.953180729208,-2980979.9531807294
2950000,-9039.331072485653,-2959039.3310724855
2950000,-5349.966031623447,-2955349.9660316235
2900000,-7468.10328255513,-2907468.103282555
2900000,-9329.0523168986,-2909329.0523168985
2900000,-8311.412624276802,-2908311.4126242767
2899900,-7453.304390628457,-2907353.3043906284
2899000,-6469.83546180405,-2905469.835461804
2899000,-8711.287633959453,-2907711.2876339597
2898300,-7230.12354343451,-2905530.1235434343
2898000,-6713.434644361455,-2904713.4346443615
2895000,-7652.292335212331,-2902652.292335212
2895000,-8396.04780503515,-2903396.047805035
2895000,-8729.163359427099,-2903729.163359427
2880000,-7811.2259241770635,-2887811.225924177
2880000,-8394.15127956729,-2888394.1512795673
2875000,-8735.741345193584,-2883735.7413451937
2855000,-8311.634203026832,-2863311.634203027
2850000,-8756.415209603902,-2858756.415209604
2850000,-8776.550665455006,-2858776.550665455
2850000,-7670.508769372122,-2857670.508769372
2849000,-7957.122497189741,-2856957.12249719
2845000,-7291.116813663349,-2852291.1168136634
2828000,-7992.053924567816,-2835992.053924568
2800000,-7587.206126551128,-2807587.206126551
2799000,-6459.825338631277,-2805459.8253386314
2799000,-8110.945610173351,-2807110.9456101735
2799000,-6634.630864763522,-2805634.6308647636
2795000,-8908.10960290584,-2803908.109602906
2795000,-8090.579063990285,-2803090.57906399
2795000,-8481.81153993575,-2803481.811539936
2790000,-8738.566407780805,-2798738.5664077806
2788988,-5700.5209710736435,-2794688.520971074
2788000,-7396.167096035876,-2795396.167096036
2750000,-6953.865126890383,-2756953.8651268906
2750000,-6130.378303093153,-2756130.3783030934
2750000,-6668.7733539262845,-2756668.7733539264
2750000,-8535.33619896975,-2758535.3361989697
2750000,-8326.571878975648,-2758326.5718789757
2749500,-5299.871260862058,-2754799.871260862
2748800,-7602.262452021932,-2756402.2624520217
2739000,-7688.08147596647,-2746688.0814759666
2700000,-7824.639646252726,-2707824.6396462526
2699000,-8844.914563724617,-2707844.914563725
2699000,-8067.024740482109,-2707067.024740482
2698888,-6575.960984683577,-2705463.9609846836
2695000,-8383.693420501673,-2703383.693420502
2695000,-6687.01686340499,-2701687.016863405
2695000,-8074.599509723035,-2703074.599509723
2695000,-8316.28842993326,-2703316.288429933
2695000,-7777.405391114007,-2702777.405391114
2695000,-8924.089236363465,-2703924.0892363633
2695000,-6507.38312002174,-2701507.383120022
2695000,-8623.927468676171,-2703623.927468676
2695000,-8564.992537536931,-2703564.992537537
2689050,-6748.777519613723,-2695798.7775196135
2688000,-8031.072194290302,-2696031.0721942903
2680000,-7683.113377349726,-2687683.11337735
2680000,-7899.121832704267,-2687899.121832704
2675000,-8372.52296918762,-2683372.5229691877
2672500,-6077.246664941524,-2678577.2466649413
2650000,-6769.05462765124,-2656769.0546276513
2650000,-8173.781395628773,-2658173.7813956286
2635000,-6385.361968323095,-2641385.361968323
2600000,-6955.487203409818,-2606955.48720341
2600000,-8590.209240102475,-2608590.2092401027
2600000,-7731.638666830488,-2607731.6386668305
2599900,-7937.330976360057,-2607837.33097636
2599000,-7698.734612166051,-2606698.734612166
2599000,-8081.474240748745,-2607081.4742407487
2599000,-7103.771249408583,-2606103.7712494084
2595000,-6625.625418864559,-2601625.6254188647
2595000,-7620.983766559937,-2602620.98376656
2594000,-8420.459339262048,-2602420.459339262
2588000,-7892.224563829246,-2595892.224563829
2588000,-7920.554771432299,-2595920.554771432
2588000,-7820.79019240035,-2595820.7901924006
2575000,-8605.755613874477,-2583605.7556138746
2500000,-6599.468480486817,-2506599.468480487
2500000,-9070.50932726841,-2509070.509327268
2500000,-5453.939675442655,-2505453.939675443
2500000,-6599.468480486817,-2506599.468480487
2500000,-8227.5115622445,-2508227.5115622445
2499999,-7170.368880947343,-2507169.368880947
2499500,-7416.348772095015,-2506916.348772095
2499000,-7274.435350198638,-2506274.4353501988
